"Data_source","x","y","dsid","type","AUPRC_label"
"cGAN",0.318,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.319,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.32,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.321,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.322,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.323,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.324,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.325,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.326,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.327,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.328,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.329,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.33,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.331,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.332,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.333,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.333333333333333,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.334,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.335,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.336,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.337,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.338,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.339,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.34,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.341,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.342,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.343,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.344,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.345,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.346,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.347,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.348,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.349,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.35,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.351,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.352,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.353,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.354,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.355,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.356,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.357,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.358,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.359,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.36,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.361,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.362,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.363,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.364,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.365,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.366,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.366666666666667,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.367,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.368,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.369,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.37,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.371,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.372,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.373,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.374,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.375,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.376,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.377,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.378,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.379,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.38,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.381,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.382,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.383,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.384,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.385,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.386,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.387,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.388,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.389,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.39,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.391,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.392,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.393,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.394,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.395,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.396,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.397,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.398,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.399,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.4,1,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.4,0.923076923076923,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.401,0.923254029163469,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.402,0.923430321592649,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.403,0.923605805958747,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.404,0.923780487804878,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.405,0.923954372623574,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.406,0.92412746585736,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.407,0.924299772899319,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
