"MetaName","Method","Predictor","Estimate","Std..Error","t.value","P","Bonferroni","Bonferroni_observedData"
"H1","LEOPARD","age",0.018681432257675,0.0033495302782872,5.57732897020647,4.41639329555401e-08,TRUE,TRUE
"H1","mice","age",0.00844400071637059,0.00397297662563718,2.12535877052042,0.0341482349851362,FALSE,TRUE
"H1","cGAN","age",0.00626242043431266,0.00403603481097575,1.55162696250349,0.121515589529615,FALSE,TRUE
"H1","missForest","age",0.00295823364172565,0.00397908850402373,0.743445047461051,0.457633967605971,FALSE,TRUE
"C0","LEOPARD","age",0.0191318550344746,0.00346667959815466,5.51878375049675,6.03083737218619e-08,TRUE,TRUE
"C0","cGAN","age",0.000481594924447324,0.00395950733611173,0.121630011909576,0.903251057599862,FALSE,TRUE
"C0","missForest","age",-0.00146223740985266,0.00392847588590797,-0.372214938393264,0.709923279450659,FALSE,TRUE
"C0","mice","age",-0.00370312814000335,0.00403281695299992,-0.918248505489116,0.359023426225217,FALSE,TRUE
"C2","missForest","age",0.00281790550623265,0.00402711422767382,0.699733195266316,0.484486920795448,FALSE,TRUE
"C2","mice","age",0.0116831910406902,0.00398922922788835,2.92868380663965,0.00359206845413116,FALSE,TRUE
"C2","cGAN","age",0.00387614211739945,0.00402637575820705,0.962687625341132,0.336266253674043,FALSE,TRUE
"C2","LEOPARD","age",0.0209325728400415,0.0038487898152837,5.43874148619845,9.19402799086016e-08,TRUE,TRUE
"C14:1-OH","mice","age",0.00539100007512567,0.00403691790400821,1.33542474811613,0.182471117677191,FALSE,TRUE
"C14:1-OH","missForest","age",0.00208408334672121,0.00402430294508994,0.517874368594444,0.604822548455351,FALSE,TRUE
"C14:1-OH","cGAN","age",0.00446621660570266,0.0039968188079031,1.11744285151766,0.264453069288457,FALSE,TRUE
"C14:1-OH","LEOPARD","age",0.0202351646874546,0.00389641124267976,5.19328259445681,3.24738004878954e-07,TRUE,TRUE
"Val","missForest","age",-0.000630829769167914,0.00397251576540212,-0.158798556487052,0.873905020262499,FALSE,FALSE
"Val","cGAN","age",0.00343972367363749,0.00399226089959162,0.861597916606438,0.389407571371052,FALSE,FALSE
"Val","LEOPARD","age",0.019113189679008,0.00370805330580675,5.15450779768379,3.94656262428998e-07,TRUE,FALSE
"Val","mice","age",-0.000617128308499374,0.00389569173974434,-0.158413023854879,0.874208593447704,FALSE,FALSE
"C14:1","missForest","age",0.00655438107267697,0.00402987789708464,1.62644656738078,0.104615566565369,FALSE,TRUE
"C14:1","cGAN","age",0.00877407541121853,0.0040203122418875,2.18243630925024,0.0296386998709297,FALSE,TRUE
"C14:1","mice","age",0.00720061914384096,0.00402526639135092,1.78885530639982,0.0743691088027415,FALSE,TRUE
"C14:1","LEOPARD","age",0.0200891990261091,0.00392311577996998,5.12072550310072,4.67281791460027e-07,TRUE,TRUE
"SM C18:1","cGAN","age",0.00460249190951084,0.00381751484014129,1.20562515202704,0.228650662694353,FALSE,FALSE
"SM C18:1","LEOPARD","age",0.0180569738713999,0.00363703904055296,4.96474568187603,1.00733524085906e-06,TRUE,FALSE
"SM C18:1","missForest","age",0.0133877447114828,0.00386392243162249,3.46480679889352,0.000586017958794057,TRUE,FALSE
"SM C18:1","mice","age",-0.00256584707966728,0.00403065775496455,-0.636582720650726,0.524748488319753,FALSE,FALSE
"C5","LEOPARD","age",0.0167993349294492,0.00340930587358818,4.92749420331961,1.20668110317317e-06,TRUE,TRUE
"C5","cGAN","age",0.000299010624710914,0.00384351794433891,0.0777960787593887,0.938027850443562,FALSE,TRUE
"C5","mice","age",-0.000321699527585602,0.00399991568949246,-0.0804265770977843,0.935936853475496,FALSE,TRUE
"C5","missForest","age",-0.00145416898827237,0.00394190548811786,-0.368900013624298,0.712390836147582,FALSE,TRUE
"C12","LEOPARD","age",0.019344322532233,0.00392803133328661,4.92468641181827,1.223160900486e-06,TRUE,TRUE
"C12","mice","age",0.00130506193583508,0.00403379864451726,0.323531750304126,0.746455930760137,FALSE,TRUE
"C12","cGAN","age",0.00443426400246711,0.00395622942990572,1.12083085195916,0.263009604726424,FALSE,TRUE
"C12","missForest","age",-0.000376710583518552,0.0040214096785238,-0.0936762512733685,0.925411653527559,FALSE,TRUE
"C14:2","missForest","age",-0.00237851649260373,0.0040225648020892,-0.59129351784921,0.554646471731036,FALSE,TRUE
"C14:2","mice","age",0.00315549889962051,0.00404006404911503,0.781051701472831,0.435218473526056,FALSE,TRUE
"C14:2","cGAN","age",0.00311124829977884,0.00395804968660514,0.786055897758925,0.432284406933318,FALSE,TRUE
"C14:2","LEOPARD","age",0.0192798983539422,0.00392070424876059,4.91745796945459,1.26659287620503e-06,TRUE,TRUE
"C18:1","cGAN","age",0.00554287439046606,0.0040375915168201,1.3728170290073,0.170552390721964,FALSE,TRUE
"C18:1","LEOPARD","age",0.0184806016792787,0.003883796070164,4.75838621426338,2.70067486390344e-06,TRUE,TRUE
"C18:1","missForest","age",0.0013355740183802,0.00397035696156351,0.336386383216851,0.736749951482547,FALSE,TRUE
"C18:1","mice","age",0.010071235381775,0.00400611369023569,2.51396644242077,0.0123166218693404,FALSE,TRUE
"SM C16:1","LEOPARD","age",0.0177654197487147,0.00374569369883386,4.74289175173227,2.90420236554133e-06,TRUE,FALSE
"SM C16:1","missForest","age",0.00954097831226981,0.00389417110239083,2.45006653827104,0.0146961106638041,FALSE,FALSE
"SM C16:1","mice","age",4.70675624978033e-05,0.00398489155073426,0.0118115040016912,0.990581692069195,FALSE,FALSE
"SM C16:1","cGAN","age",0.00818361920967899,0.0038738025968619,2.11255452621886,0.0352370712037707,FALSE,FALSE
"C16:2","mice","age",-0.00609088484620567,0.00402874029458002,-1.51185839762367,0.131332813957848,FALSE,TRUE
"C16:2","missForest","age",-0.000923043659325373,0.00401769149061886,-0.229744782913432,0.818403559816093,FALSE,TRUE
"C16:2","cGAN","age",0.00484379718699786,0.00400045575976739,1.21081133697614,0.226658478002647,FALSE,TRUE
"C16:2","LEOPARD","age",0.018500409426423,0.0039353784168258,4.70104967474642,3.53032596946143e-06,TRUE,TRUE
"C10","missForest","age",-0.000924508840278047,0.00402999833007569,-0.229406755178651,0.818666077444974,FALSE,TRUE
"C10","LEOPARD","age",0.0183948737772394,0.00394057686710112,4.66806622421545,4.11353481042308e-06,TRUE,TRUE
"C10","mice","age",-0.000614452970910227,0.00403815395164887,-0.152161848772341,0.87913340881329,FALSE,TRUE
"C10","cGAN","age",0.00314804635821042,0.00391134001593148,0.804851111227341,0.421367568138783,FALSE,TRUE
"SM C24:1","cGAN","age",-0.00149173319150981,0.00400178483992404,-0.37276696553684,0.709512658176878,FALSE,FALSE
"SM C24:1","LEOPARD","age",0.0169284866808566,0.00378119087194748,4.47702516327553,9.79941923258492e-06,TRUE,FALSE
"SM C24:1","mice","age",0.0007265357634054,0.00396599167966723,0.183191449223202,0.854737483923515,FALSE,FALSE
"SM C24:1","missForest","age",0.00633672947729399,0.00401028412478304,1.58011983194253,0.114843109537352,FALSE,FALSE
"SM C18:0","cGAN","age",0.00955490917686222,0.00382916935297144,2.49529553177051,0.0129737115002882,FALSE,FALSE
"SM C18:0","mice","age",0.00485389436875457,0.00397658764344612,1.220617978018,0.222925450371995,FALSE,FALSE
"SM C18:0","missForest","age",0.0133165667448511,0.0038900604368925,3.42322875463826,0.000680488961420545,TRUE,FALSE
"SM C18:0","LEOPARD","age",0.0167403725356549,0.00375632817012473,4.45657881246809,1.0734346534798e-05,TRUE,FALSE
"C3","LEOPARD","age",0.0148435696628287,0.00334882987044365,4.43246454346224,1.19469706783449e-05,TRUE,TRUE
