"group","source","V1","V2"
"LEOPARD","Observed data (t1)",2.75801279116065,9.70424918992113
"LEOPARD","Observed data (t1)",1.82840250519167,9.06026154615345
"LEOPARD","Observed data (t1)",2.77069752144563,7.18793489811833
"LEOPARD","Observed data (t1)",1.90605663097836,9.0798473222055
"LEOPARD","Observed data (t1)",1.6068363675374,7.60759025292365
"LEOPARD","Observed data (t1)",1.98802777377895,9.96525755135439
"LEOPARD","Observed data (t1)",3.35590378326767,6.9410014609571
"LEOPARD","Observed data (t1)",1.42009153111624,8.8629518429697
"LEOPARD","Observed data (t1)",0.99279118433471,7.70646720636292
"LEOPARD","Observed data (t1)",-0.467302302929264,9.37347396141448
"LEOPARD","Observed data (t1)",1.03430020887441,10.2336845717272
"LEOPARD","Observed data (t1)",4.00894788477971,7.91931160939906
"LEOPARD","Observed data (t1)",2.68496456237406,7.46801457861076
"LEOPARD","Observed data (t1)",2.7150427923867,9.55767883799558
"LEOPARD","Observed data (t1)",3.59579643312665,7.43846306075912
"LEOPARD","Observed data (t1)",2.68307873268773,9.48152271017696
"LEOPARD","Observed data (t1)",3.79614237393323,7.80151280494077
"LEOPARD","Observed data (t1)",1.29342672341279,9.97222137603325
"LEOPARD","Observed data (t1)",2.43234841144168,7.3854871238037
"LEOPARD","Observed data (t1)",1.33610220570618,8.35823397409241
"LEOPARD","Observed data (t1)",1.24861152608361,8.70300276135838
"LEOPARD","Observed data (t1)",3.27740724424144,6.98859255598862
"LEOPARD","Observed data (t1)",-0.358478932538428,9.42154621898875
"LEOPARD","Observed data (t1)",4.4167673791392,7.43917727633129
"LEOPARD","Observed data (t1)",1.45405147775856,10.7025499258245
"LEOPARD","Observed data (t1)",3.33773563221116,8.11400105090631
"LEOPARD","Observed data (t1)",1.66519052614243,10.1098101602868
"LEOPARD","Observed data (t1)",3.11984666154384,9.80513061251168
"LEOPARD","Observed data (t1)",2.25592107226262,7.49714720100278
"LEOPARD","Observed data (t1)",1.24462357921543,9.42879242549094
"LEOPARD","Observed data (t1)",0.72994417330834,7.83054407592412
"LEOPARD","Observed data (t1)",1.98728198646319,7.61762991077323
"LEOPARD","Observed data (t1)",0.256687556789702,10.4587840289899
"LEOPARD","Observed data (t1)",4.44969926634738,8.2861999085983
"LEOPARD","Observed data (t1)",1.03707289782125,7.58261134602125
"LEOPARD","Observed data (t1)",4.68327915746587,8.44515584754659
"LEOPARD","Observed data (t1)",-0.155002529253591,9.68027034652304
"LEOPARD","Observed data (t1)",2.30413717411364,8.94689183323175
"LEOPARD","Observed data (t1)",0.602487174945553,8.02145712880985
"LEOPARD","Observed data (t1)",1.17990448246422,9.81547786637688
"LEOPARD","Observed data (t1)",4.45298837928602,7.68998704040304
"LEOPARD","Observed data (t1)",0.761605763803093,8.13777800424669
"LEOPARD","Observed data (t1)",0.594265391454093,9.78979985905745
"LEOPARD","Observed data (t1)",3.89033961239218,7.00681187469701
"LEOPARD","Observed data (t1)",2.57211818930625,7.39329793543228
"LEOPARD","Observed data (t1)",1.74014945178553,10.7602972796371
"LEOPARD","Observed data (t1)",2.34775769959932,9.56221419265298
"LEOPARD","Observed data (t1)",2.24790502209025,7.86306112163654
"LEOPARD","Observed data (t1)",1.77206668234497,8.80565570744282
"LEOPARD","Observed data (t1)",2.11417680953763,9.3083777862663
"LEOPARD","Observed data (t1)",2.10060601018984,10.1906238050878
"LEOPARD","Observed data (t1)",1.54118526922738,8.23747585367516
"LEOPARD","Observed data (t1)",2.34726476838144,7.41505991328585
"LEOPARD","Observed data (t1)",2.52756365431576,7.81873946454368
"LEOPARD","Observed data (t1)",3.58563172505421,7.59551745910154
"LEOPARD","Observed data (t1)",1.29620954103589,10.7494538283241
"LEOPARD","Observed data (t1)",2.08981170671332,10.8322938473777
"LEOPARD","Observed data (t1)",4.5009923626606,7.42447942754498
"LEOPARD","Observed data (t1)",3.89388991751552,8.80104945984216
"LEOPARD","Observed data (t1)",3.84393475370403,7.2947062639722
"LEOPARD","Observed data (t1)",1.46501500814601,10.6987341789661
"LEOPARD","Observed data (t1)",3.37126673149873,8.26971756698151
"LEOPARD","Observed data (t1)",0.29571422667391,8.48952106831963
"LEOPARD","Observed data (t1)",3.16716369750411,8.6102425381322
"LEOPARD","Observed data (t1)",4.8270930371621,8.01863184324302
"LEOPARD","Observed data (t1)",3.15505294530569,8.90824880613059
"LEOPARD","Observed data (t1)",1.70582822846852,7.85613894795222
"LEOPARD","Observed data (t1)",0.387611675547993,10.5850723419759
"LEOPARD","Observed data (t1)",-0.524929230799559,9.20890822681711
"LEOPARD","Observed data (t1)",4.34520846710404,7.63078900269659
"LEOPARD","Observed data (t1)",1.41246653525016,9.3268813341029
"LEOPARD","Observed data (t1)",3.40497519415495,7.69174048120344
"LEOPARD","Observed data (t1)",2.8529512890435,7.5319231155259
"LEOPARD","Observed data (t1)",1.39448767360499,8.76684070592703
"LEOPARD","Observed data (t1)",0.868036186909832,9.60371021251842
"LEOPARD","Observed data (t1)",1.6800596139844,10.4997901673673
"LEOPARD","Observed data (t1)",0.211564521939258,9.63138969864462
"LEOPARD","Observed data (t1)",0.829195431965801,10.1362884794493
"LEOPARD","Observed data (t1)",4.03055097729326,7.3484519984288
"LEOPARD","Observed data (t1)",4.42242018137044,9.09145502242606
"LEOPARD","Observed data (t1)",1.24068585332738,10.2496597599027
"LEOPARD","Observed data (t1)",2.14908247584855,9.99048406817275
"LEOPARD","Observed data (t1)",1.14805436898076,7.82277546439404
"LEOPARD","Observed data (t1)",0.749043870576462,9.04307556666067
