"method","obsNum","PB","dataset"
"cGAN","obsNum=200",0.10956068,"KORA metabolomics"
"cGAN","obsNum=200",0.12735416,"KORA metabolomics"
"cGAN","obsNum=50",0.16058022,"KORA metabolomics"
"cGAN","obsNum=50",0.2605697,"KORA metabolomics"
"cGAN","obsNum=50",0.23903294,"KORA metabolomics"
"cGAN","obsNum=50",0.28151515,"KORA metabolomics"
"cGAN","obsNum=50",0.23395853,"KORA metabolomics"
"cGAN","obsNum=50",0.35600886,"KORA metabolomics"
"cGAN","obsNum=50",0.28732547,"KORA metabolomics"
"cGAN","obsNum=50",0.35312858,"KORA metabolomics"
"cGAN","obsNum=50",0.22078483,"KORA metabolomics"
"cGAN","obsNum=50",0.27905747,"KORA metabolomics"
"cGAN","obsNum=50",0.18353288,"KORA metabolomics"
"cGAN","obsNum=50",0.2679904,"KORA metabolomics"
"cGAN","obsNum=50",0.20245756,"KORA metabolomics"
"cGAN","obsNum=50",0.17032042,"KORA metabolomics"
"cGAN","obsNum=50",0.19270799,"KORA metabolomics"
"cGAN","obsNum=50",0.16519706,"KORA metabolomics"
"cGAN","obsNum=50",0.17267697,"KORA metabolomics"
"cGAN","obsNum=50",0.22239685,"KORA metabolomics"
"cGAN","obsNum=50",0.14802961,"KORA metabolomics"
"cGAN","obsNum=50",0.22645146,"KORA metabolomics"
"cGAN","obsNum=50",0.1624322,"KORA metabolomics"
"cGAN","obsNum=50",0.2012124,"KORA metabolomics"
"cGAN","obsNum=50",0.16410732,"KORA metabolomics"
"cGAN","obsNum=50",0.15279096,"KORA metabolomics"
"cGAN","obsNum=50",0.12290375,"KORA metabolomics"
"cGAN","obsNum=50",0.1154222,"KORA metabolomics"
"cGAN","obsNum=50",0.13086471,"KORA metabolomics"
"cGAN","obsNum=50",0.115143344,"KORA metabolomics"
"cGAN","obsNum=50",0.14763944,"KORA metabolomics"
"cGAN","obsNum=50",0.092478834,"KORA metabolomics"
"cGAN","obsNum=50",0.1325676,"KORA metabolomics"
"cGAN","obsNum=50",0.12937278,"KORA metabolomics"
"cGAN","obsNum=50",0.1306408,"KORA metabolomics"
"cGAN","obsNum=50",0.27221653,"KORA metabolomics"
"cGAN","obsNum=50",0.13745956,"KORA metabolomics"
"cGAN","obsNum=50",0.1075601,"KORA metabolomics"
"LEOPARD","obsNum=0",0.13923025,"KORA metabolomics"
"LEOPARD","obsNum=0",0.25611186,"KORA metabolomics"
"LEOPARD","obsNum=0",0.19940554,"KORA metabolomics"
"LEOPARD","obsNum=0",0.24485147,"KORA metabolomics"
"LEOPARD","obsNum=0",0.22417954,"KORA metabolomics"
"LEOPARD","obsNum=0",0.28676146,"KORA metabolomics"
"LEOPARD","obsNum=0",0.25448903,"KORA metabolomics"
"LEOPARD","obsNum=0",0.40984967,"KORA metabolomics"
"LEOPARD","obsNum=0",0.21150984,"KORA metabolomics"
"LEOPARD","obsNum=0",0.29689214,"KORA metabolomics"
"LEOPARD","obsNum=0",0.23635598,"KORA metabolomics"
"LEOPARD","obsNum=0",0.31785014,"KORA metabolomics"
"LEOPARD","obsNum=0",0.24181055,"KORA metabolomics"
"LEOPARD","obsNum=0",0.20718445,"KORA metabolomics"
"LEOPARD","obsNum=0",0.17965958,"KORA metabolomics"
"LEOPARD","obsNum=0",0.13614687,"KORA metabolomics"
"LEOPARD","obsNum=0",0.20279418,"KORA metabolomics"
"LEOPARD","obsNum=0",0.420683,"KORA metabolomics"
"LEOPARD","obsNum=0",0.2502928,"KORA metabolomics"
"LEOPARD","obsNum=0",0.15582372,"KORA metabolomics"
"LEOPARD","obsNum=0",0.25937122,"KORA metabolomics"
"LEOPARD","obsNum=0",0.14592355,"KORA metabolomics"
"LEOPARD","obsNum=0",0.19162762,"KORA metabolomics"
"LEOPARD","obsNum=0",0.3047081,"KORA metabolomics"
"LEOPARD","obsNum=0",0.1906585,"KORA metabolomics"
"LEOPARD","obsNum=0",0.18424329,"KORA metabolomics"
"LEOPARD","obsNum=0",0.2354624,"KORA metabolomics"
"LEOPARD","obsNum=0",0.14221923,"KORA metabolomics"
"LEOPARD","obsNum=0",0.27580985,"KORA metabolomics"
"LEOPARD","obsNum=0",0.12703112,"KORA metabolomics"
"LEOPARD","obsNum=0",0.16507107,"KORA metabolomics"
"LEOPARD","obsNum=0",0.13149464,"KORA metabolomics"
"LEOPARD","obsNum=0",0.17762192,"KORA metabolomics"
"LEOPARD","obsNum=0",0.38979092,"KORA metabolomics"
"LEOPARD","obsNum=0",0.14767554,"KORA metabolomics"
"LEOPARD","obsNum=0",0.12260856,"KORA metabolomics"
"LEOPARD","obsNum=100",0.135111,"KORA metabolomics"
"LEOPARD","obsNum=100",0.22309424,"KORA metabolomics"
"LEOPARD","obsNum=100",0.18023713,"KORA metabolomics"
"LEOPARD","obsNum=100",0.26304507,"KORA metabolomics"
"LEOPARD","obsNum=100",0.2102168,"KORA metabolomics"
"LEOPARD","obsNum=100",0.307521,"KORA metabolomics"
"LEOPARD","obsNum=100",0.24725138,"KORA metabolomics"
"LEOPARD","obsNum=100",0.2993959,"KORA metabolomics"
"LEOPARD","obsNum=100",0.1865566,"KORA metabolomics"
"LEOPARD","obsNum=100",0.26379415,"KORA metabolomics"
"LEOPARD","obsNum=100",0.16550347,"KORA metabolomics"
"LEOPARD","obsNum=100",0.21752062,"KORA metabolomics"
"LEOPARD","obsNum=100",0.16038616,"KORA metabolomics"
"LEOPARD","obsNum=100",0.17088771,"KORA metabolomics"
"LEOPARD","obsNum=100",0.17617516,"KORA metabolomics"
"LEOPARD","obsNum=100",0.1398128,"KORA metabolomics"
"LEOPARD","obsNum=100",0.16142377,"KORA metabolomics"
"LEOPARD","obsNum=100",0.15930606,"KORA metabolomics"
"LEOPARD","obsNum=100",0.14121585,"KORA metabolomics"
"LEOPARD","obsNum=100",0.1440623,"KORA metabolomics"
"LEOPARD","obsNum=100",0.13420504,"KORA metabolomics"
"LEOPARD","obsNum=100",0.15075466,"KORA metabolomics"
"LEOPARD","obsNum=100",0.15256774,"KORA metabolomics"
"LEOPARD","obsNum=100",0.14948112,"KORA metabolomics"
"LEOPARD","obsNum=100",0.12284729,"KORA metabolomics"
"LEOPARD","obsNum=100",0.12598677,"KORA metabolomics"
"LEOPARD","obsNum=100",0.13385141,"KORA metabolomics"
"LEOPARD","obsNum=100",0.113379285,"KORA metabolomics"
"LEOPARD","obsNum=100",0.16081364,"KORA metabolomics"
"LEOPARD","obsNum=100",0.090328455,"KORA metabolomics"
"LEOPARD","obsNum=100",0.116983496,"KORA metabolomics"
"LEOPARD","obsNum=100",0.11935356,"KORA metabolomics"
"LEOPARD","obsNum=100",0.13422708,"KORA metabolomics"
"LEOPARD","obsNum=100",0.18034682,"KORA metabolomics"
"LEOPARD","obsNum=100",0.12931864,"KORA metabolomics"
"LEOPARD","obsNum=100",0.10200954,"KORA metabolomics"
"missForest","obsNum=0",0.194575163398693,"KORA metabolomics"
"missForest","obsNum=0",0.357905797101449,"KORA metabolomics"
"missForest","obsNum=0",0.410983050847458,"KORA metabolomics"
"missForest","obsNum=0",0.413096926713948,"KORA metabolomics"
"missForest","obsNum=0",0.260594059405941,"KORA metabolomics"
"missForest","obsNum=0",0.412771929824561,"KORA metabolomics"
"missForest","obsNum=0",0.28305,"KORA metabolomics"
"missForest","obsNum=0",0.696489361702128,"KORA metabolomics"
"missForest","obsNum=0",0.213529411764705,"KORA metabolomics"
"missForest","obsNum=0",0.350357142857143,"KORA metabolomics"
"missForest","obsNum=0",0.205360824742268,"KORA metabolomics"
"missForest","obsNum=0",0.234285714285715,"KORA metabolomics"
"missForest","obsNum=0",0.204918032786885,"KORA metabolomics"
"missForest","obsNum=0",0.194025157232704,"KORA metabolomics"
"missForest","obsNum=0",0.226470588235294,"KORA metabolomics"
"missForest","obsNum=0",0.139812030075188,"KORA metabolomics"
"missForest","obsNum=0",0.174,"KORA metabolomics"
"missForest","obsNum=0",0.687264573991032,"KORA metabolomics"
"missForest","obsNum=0",0.357767857142857,"KORA metabolomics"
"missForest","obsNum=0",0.179233128834356,"KORA metabolomics"
"missForest","obsNum=0",0.25097247706422,"KORA metabolomics"
"missForest","obsNum=0",0.148009523809524,"KORA metabolomics"
"missForest","obsNum=0",0.415774456521739,"KORA metabolomics"
"missForest","obsNum=0",0.577376237623762,"KORA metabolomics"
"missForest","obsNum=0",0.19519906323185,"KORA metabolomics"
"missForest","obsNum=0",0.164761904761904,"KORA metabolomics"
"missForest","obsNum=0",0.19244262295082,"KORA metabolomics"
"missForest","obsNum=0",0.127313266443701,"KORA metabolomics"
"missForest","obsNum=0",0.187348214285714,"KORA metabolomics"
"missForest","obsNum=0",0.129918699186992,"KORA metabolomics"
"missForest","obsNum=0",0.161105263157895,"KORA metabolomics"
"missForest","obsNum=0",0.137677165354331,"KORA metabolomics"
"missForest","obsNum=0",0.15824,"KORA metabolomics"
"missForest","obsNum=0",0.429635854341736,"KORA metabolomics"
"missForest","obsNum=0",0.137773019271949,"KORA metabolomics"
"missForest","obsNum=0",0.203758850900263,"KORA metabolomics"
"missForest","obsNum=100",0.171299559471366,"KORA metabolomics"
"missForest","obsNum=100",0.322333333333334,"KORA metabolomics"
"missForest","obsNum=100",0.306805555555555,"KORA metabolomics"
"missForest","obsNum=100",0.372789473684211,"KORA metabolomics"
"missForest","obsNum=100",0.252571428571428,"KORA metabolomics"
"missForest","obsNum=100",0.396887159533074,"KORA metabolomics"
"missForest","obsNum=100",0.302911392405063,"KORA metabolomics"
"missForest","obsNum=100",0.556046511627907,"KORA metabolomics"
"missForest","obsNum=100",0.234,"KORA metabolomics"
"missForest","obsNum=100",0.367499999999999,"KORA metabolomics"
"missForest","obsNum=100",0.203627450980393,"KORA metabolomics"
"missForest","obsNum=100",0.238571428571429,"KORA metabolomics"
"missForest","obsNum=100",0.202295081967214,"KORA metabolomics"
"missForest","obsNum=100",0.193425925925926,"KORA metabolomics"
"missForest","obsNum=100",0.235999999999999,"KORA metabolomics"
"missForest","obsNum=100",0.135098039215686,"KORA metabolomics"
"missForest","obsNum=100",0.167507507507507,"KORA metabolomics"
"missForest","obsNum=100",0.319777777777778,"KORA metabolomics"
"missForest","obsNum=100",0.209162162162162,"KORA metabolomics"
"missForest","obsNum=100",0.169433962264151,"KORA metabolomics"
"missForest","obsNum=100",0.159754901960784,"KORA metabolomics"
"missForest","obsNum=100",0.149301369863014,"KORA metabolomics"
"missForest","obsNum=100",0.219862595419848,"KORA metabolomics"
"missForest","obsNum=100",0.261238095238095,"KORA metabolomics"
"missForest","obsNum=100",0.15903162055336,"KORA metabolomics"
"missForest","obsNum=100",0.158659793814432,"KORA metabolomics"
"missForest","obsNum=100",0.156168141592921,"KORA metabolomics"
"missForest","obsNum=100",0.132163120567376,"KORA metabolomics"
"missForest","obsNum=100",0.154188118811882,"KORA metabolomics"
"missForest","obsNum=100",0.114466666666667,"KORA metabolomics"
"missForest","obsNum=100",0.150757575757575,"KORA metabolomics"
"missForest","obsNum=100",0.132,"KORA metabolomics"
"missForest","obsNum=100",0.142870967741936,"KORA metabolomics"
"missForest","obsNum=100",0.267321937321937,"KORA metabolomics"
"missForest","obsNum=100",0.123818181818182,"KORA metabolomics"
"missForest","obsNum=100",0.141775265957447,"KORA metabolomics"
"missForest","obsNum=200",0.157897727272727,"KORA metabolomics"
"missForest","obsNum=200",0.293826771653543,"KORA metabolomics"
"missForest","obsNum=200",0.291086350974931,"KORA metabolomics"
"missForest","obsNum=200",0.352881355932204,"KORA metabolomics"
"missForest","obsNum=200",0.245443786982248,"KORA metabolomics"
"missForest","obsNum=200",0.379594095940959,"KORA metabolomics"
"missForest","obsNum=200",0.297213114754098,"KORA metabolomics"
"missForest","obsNum=200",0.468125,"KORA metabolomics"
