"Data_source","x","y","dsid","type","AUROC_label"
"cGAN",0.051,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.052,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.053,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.054,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.055,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.056,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.057,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.058,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.059,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.06,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.061,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.062,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.063,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.064,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.065,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.066,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.067,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.068,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.069,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.07,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.071,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0720000000000001,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0730000000000001,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0740000000000001,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0750000000000001,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0760000000000001,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0769230769230769,0.4,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0769230769230769,0.433333333333333,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0769230769230769,0.466666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0769230769230769,0.5,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0769230769230769,0.533333333333333,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.0769230769230769,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.077,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.078,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.079,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.08,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.081,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.082,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.083,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.084,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.085,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.086,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.087,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.088,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.089,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.09,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.091,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.092,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.093,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.094,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.095,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.096,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.097,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.098,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.099,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.1,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.101,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.102,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.103,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.104,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.105,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
