"completion_task","observed_timepoint","obsNum","PB"
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.17133836
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.15524584
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.15323475
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.12741685
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.17568934
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.08930247
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.1164923
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.15624776
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.15981562
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.19757833
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.14517786
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.1047956
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.15371397
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.17838016
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.1760571
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.24063629
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.23256324
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.2050443
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.19201031
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.19417332
"complete view 2 at timepoint 1","timepoint 3 observed","200",0.1757209
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.1478824
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.319963
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.3208091
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.25906336
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.26028863
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.35168633
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.21004722
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.17974974
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.2335844
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.24088508
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.2844653
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.25280255
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.25651422
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.41476038
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.14792836
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.156931
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.16675867
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.14975682
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.19808032
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.11610837
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.10440012
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.17291361
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.18882781
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.17604718
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.1960173
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.09965808
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.15198013
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.21291791
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.15412858
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.24004455
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.20748186
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.17332286
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.18011534
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.19719912
"complete view 2 at timepoint 1","timepoint 3 observed","50",0.16655591
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.15515426
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.3487139
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.32184297
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.32634586
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.27233732
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.33789757
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.15369295
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.20628215
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.27180177
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.21889246
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.3424433
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.17735425
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.26721582
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.23037842
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.13009763
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.16068137
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.18822989
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.121349566
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.17186813
